               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053791,            0.056443,           0.0013724,             0.82151,             0.75368,             0.85899,              0.3463,            0.030844,            0.064166,          0.00056717,           0.0019447,           0.0019447,            0.028045
                  37,            0.055603,              0.0522,           0.0013973,             0.79913,             0.74194,             0.83986,             0.33538,            0.031586,            0.062672,          0.00059757,           0.0018364,           0.0018364,            0.025936
                  38,            0.051015,            0.051639,           0.0014002,             0.78899,             0.77968,             0.86183,             0.35186,            0.030111,            0.062516,          0.00054308,           0.0017291,           0.0017291,            0.023829
                  39,            0.053743,            0.053437,           0.0013078,             0.80351,             0.74967,             0.83223,             0.32417,            0.031066,            0.062365,          0.00049471,           0.0016241,           0.0016241,            0.021724
                  40,            0.051179,            0.051511,           0.0014378,             0.81621,             0.77078,             0.86699,             0.34453,            0.030606,            0.062238,           0.0004379,           0.0015229,           0.0015229,            0.019623
                  41,            0.049343,            0.051534,           0.0011676,             0.77239,             0.78789,             0.84712,             0.31368,            0.031136,            0.063311,          0.00040967,           0.0014267,           0.0014267,            0.017527
                  42,            0.050166,            0.054836,           0.0010551,             0.77457,             0.77538,             0.83405,             0.31943,            0.033594,            0.062328,          0.00038742,           0.0013371,           0.0013371,            0.015437
                  43,            0.050125,            0.053883,           0.0010275,             0.76054,             0.81698,             0.86644,             0.34854,            0.031667,            0.061623,          0.00039604,           0.0012555,           0.0012555,            0.013355
                  44,            0.048476,            0.052975,           0.0011075,             0.75132,             0.81883,             0.86578,             0.33691,            0.031458,            0.062282,          0.00039495,           0.0011831,           0.0011831,            0.011283
                  45,            0.049961,            0.050155,           0.0012231,             0.77474,              0.8053,             0.86917,              0.3504,            0.030329,            0.062963,          0.00039122,           0.0011214,           0.0011214,           0.0092214
                  46,            0.046487,            0.052034,           0.0011185,             0.80925,             0.79825,             0.87928,              0.3635,            0.030224,            0.063871,          0.00036817,           0.0010718,           0.0010718,           0.0071718
                  47,            0.049094,            0.052361,           0.0011421,             0.80277,              0.7887,             0.86922,             0.34878,            0.030434,            0.064275,          0.00035648,           0.0010354,           0.0010354,           0.0051354
                  48,            0.047762,            0.051951,          0.00097625,             0.80587,             0.79665,             0.87574,             0.36891,            0.029052,            0.064588,           0.0003445,           0.0010137,           0.0010137,           0.0031137
                  49,            0.049276,            0.052268,          0.00093094,             0.81392,             0.79427,             0.87693,             0.36938,            0.028745,            0.065482,          0.00034122,           0.0010079,           0.0010079,           0.0011079
