   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
0.46616,0.49016,0.42129,0.1129,0.097362,0.10436,0.011505,0.01312,0.11363,0.89972,0.00049,3.3354,0.6716,0.10467,0.06676,0.59614,1.2466,0.86826,0.95657,0.2,4.3866,0,0.01574,0.82661,0.40127,0,0.10685,0.48999,0,0,0,0.5,0.7055,0,0,2.9766
0.52161,0.56467,0.50395,0.13337,0.079217,0.093381,0.0062983,0.01097,0.1132,0.90111,0.00046,3.125,0.74858,0.09516,0.05571,0.60359,1.1902,0.86729,0.84354,0.2,4.3643,0,0.0156,0.81766,0.38143,0,0.08469,0.48244,0,0,0,0.5,0.91079,0,0,2.1784
0.53239,0.56608,0.51804,0.14982,0.073358,0.080108,0.0072884,0.01316,0.1322,0.87663,0.00042,2.4498,0.69758,0.08576,0.05161,0.46822,1.7047,0.73516,0.84562,0.2,4.3536,0,0.01735,0.7357,0.35687,0,0.08717,0.41436,0,0,0,0.5,1,0,0,2
0.50317,0.50558,0.4769,0.13684,0.089573,0.087919,0.016004,0.01219,0.1322,0.8805,0.00041,2.5034,0.57602,0.08435,0.06141,0.45489,1.7414,0.8138,0.80532,0.2,4.2095,0,0.02069,0.7357,0.35687,0,0.08717,0.41436,0,0,0,0.5,0.74421,0,0,2
0.44463,0.5573,0.45738,0.11274,0.066618,0.077289,0.0090691,0.01132,0.15579,0.84807,0.00042,2.6488,0.69758,0.08576,0.04565,0.51652,1.7047,0.9497,0.7779,0.2,3.3212,0,0.01735,0.9,0.28721,0,0.09267,0.37188,0,0,0,0.5,1,0,0,2
0.39907,0.57605,0.41572,0.10995,0.068979,0.08036,0.009124,0.01271,0.12931,0.85774,0.00045,2.3819,0.63254,0.08576,0.04141,0.45297,2,0.68096,0.95539,0.2,4.9074,0,0.01411,0.74848,0.31944,0,0.12353,0.46405,0,0,0,0.5,0.82767,0,0,2.2004
0.54003,0.56894,0.52487,0.14914,0.074249,0.077377,0.006417,0.01316,0.1322,0.89261,0.00039,2.4089,0.71116,0.08847,0.05223,0.46822,1.7047,0.72755,0.82289,0.2,4.3536,0,0.01639,0.7357,0.35687,0,0.08717,0.46257,0,0,0,0.5,0.98306,0,0,2
0.61026,0.60556,0.62779,0.20461,0.077604,0.10299,0.0036822,0.0146,0.12793,0.89032,0.00042,2.5459,0.7538,0.08423,0.05898,0.51667,1.5572,0.94401,0.86916,0.2,4.3536,0,0.01923,0.68971,0.35928,0,0.07423,0.41803,0,0,0,0.5,1,0,0,2
0.60624,0.59955,0.6233,0.1988,0.077588,0.1004,0.0044455,0.0146,0.12795,0.89032,0.00043,2.4866,0.72985,0.08657,0.05898,0.52688,1.486,0.92263,0.86916,0.2,4.3281,0,0.01923,0.69122,0.35609,0,0.0759,0.4281,0,0,0,0.5,1,0,0,2
0.66229,0.56803,0.62934,0.20009,0.080094,0.098035,0.0043124,0.0146,0.12795,0.89594,0.00043,2.4242,0.73381,0.08601,0.05898,0.52732,1.4644,0.92208,0.86916,0.2,4.3281,0,0.0194,0.69611,0.36298,0,0.07503,0.4312,0,0,0,0.5,0.98972,0,0,2
